feature,importance_mean,importance_std
market_regime_30d,0.17197643849001124,0.04043055157390219
log_employees_laid_off,0.15270173972333675,0.034208651974239945
days_since_prior_layoff,0.13562442522581317,0.03471789879385968
log_funds_raised,0.1290158950535949,0.030812586139832218
pct_laid_off_filled,0.08235580722081805,0.02400059952613013
event_year,0.08100710503948348,0.022938837897427997
has_pct,0.024030022648386745,0.012626111725775921
industry_top15_Other,0.020373244756863418,0.012183284555499902
is_repeat,0.018003686557493716,0.012151647636116703
industry_top15_Consumer,0.01580027809390792,0.009570528728723769
industry_top15_Finance,0.014918455113413142,0.008996657625031362
has_funds,0.014772080549238682,0.010177599087191156
industry_top15_Retail,0.014252354184094023,0.009531877186590439
industry_top15_Hardware,0.013200486637493186,0.009014966376541747
industry_top15_Transportation,0.010843957628503872,0.008539824777567567
industry_top15_Marketing,0.010542568523344136,0.007878005396029912
stage_clean_Post-IPO,0.010014436696779221,0.008089395838844547
industry_top15_Sales,0.008842184441391116,0.006852177561598172
industry_top15_Media,0.00859469578890381,0.007271270176095614
industry_top15_Healthcare,0.008592747405039633,0.006557412314853146
industry_top15_Real Estate,0.007980274466073934,0.006400196068250166
industry_top15_Data,0.007851391408435583,0.007025715772512788
industry_top15_Travel,0.007318853835737136,0.006287601961661708
industry_top15_Security,0.006663744772712743,0.005929926379459785
industry_top15_Crypto,0.0053778889647937865,0.005665086983791927
stage_clean_Unknown,0.0037007925438207806,0.0048114617437131375
stage_clean_Series D,0.0031794806806639043,0.0042282202769131924
stage_clean_Series A,0.00312737106893486,0.004488507206096471
stage_clean_Series C,0.0031270172804567747,0.004316716380337823
stage_clean_Series B,0.002977358168033814,0.003973642447442521
stage_clean_Acquired,0.0017322004893549376,0.0031854973356631442
stage_clean_Series F,0.000971293253286035,0.0024121902339309673
stage_clean_Subsidiary,0.0005297232897854664,0.001587207812199136
